title1_4,title2_4,title3_4,title4_4,deviceId,channelId,timestamp,cfd_y1,cfd_y2,heigth,baseline,qLong,qShort,psdValue,eventCounter,eventCounterPSD,decimationFactor,postfix1,postfix2,postfix3,postfix4
171,87,70,65,889192462,0,3661645761296,2,-103,665,-39,3191,2630,5760,7488,0,0,87,70,80,187
171,87,70,65,889192462,0,3661648212120,15,-1,1005,-39,4431,3476,7062,7490,0,0,87,70,80,187
171,87,70,65,889192462,0,3661659924032,15,-1,352,-39,1763,1470,5445,7492,0,0,87,70,80,187
171,87,70,65,889192462,0,3661665678328,14,-4,525,-39,2578,2143,5528,7494,0,0,87,70,80,187
171,87,70,65,889192462,0,3661673203384,10,-2,1012,-39,4405,3495,6769,7496,0,0,87,70,80,187
171,87,70,65,889192462,0,3661673963888,10,-2,408,-39,1977,1600,6248,7498,0,0,87,70,80,187
171,87,70,65,889192462,0,3661704046176,23,-1,210,-39,1107,946,4765,7500,0,0,87,70,80,187
171,87,70,65,889192462,0,3661707380600,23,-1,596,-39,2827,2358,5436,7502,0,0,87,70,80,187
171,87,70,65,889192462,0,3661709606296,23,-1,266,-39,1344,1112,5656,7504,0,0,87,70,80,187
171,87,70,65,889192462,0,3661712936184,23,-1,142,-39,897,714,6684,7506,0,0,87,70,80,187
171,87,70,65,889192462,0,3661714912760,11,-1,1351,-39,6111,4587,8171,7508,0,0,87,70,80,187
171,87,70,65,889192462,0,3661717708960,3,-5,1318,-39,5895,4896,5552,7510,0,0,87,70,80,187
171,87,70,65,889192462,0,3661721216608,10,-80,562,-39,2616,2209,5097,7512,0,0,87,70,80,187
171,87,70,65,889192462,0,3661730446968,8,-2,696,-39,3242,2631,6175,7514,0,0,87,70,80,187
171,87,70,65,889192462,0,3661743269552,17,-1,1431,-39,6535,4856,8418,7516,0,0,87,70,80,187
171,87,70,65,889192462,0,3661748813240,17,-1,247,-39,1289,1074,5465,7518,0,0,87,70,80,187
171,87,70,65,889192462,0,3661753777944,17,-1,2796,-39,12480,8919,9349,7520,0,0,87,70,80,187
171,87,70,65,889192462,0,3661769692048,9,-1,932,-39,4280,3420,6584,7522,0,0,87,70,80,187
171,87,70,65,889192462,0,3661776790696,9,-1,549,-39,2628,2197,5373,7524,0,0,87,70,80,187
171,87,70,65,889192462,0,3661785173096,16,-1,1373,-39,5908,4710,6644,7526,0,0,87,70,80,187
171,87,70,65,889192462,0,3661795170264,16,-1,335,-39,1599,1380,4487,7528,0,0,87,70,80,187
171,87,70,65,889192462,0,3661807873512,6,-3,1299,-39,5809,4742,6018,7530,0,0,87,70,80,187
171,87,70,65,889192462,0,3661821566872,6,-3,398,-39,1897,1625,4698,7532,0,0,87,70,80,187
171,87,70,65,889192462,0,3661825886944,8,-1,397,-39,1817,1618,3588,7534,0,0,87,70,80,187
171,87,70,65,889192462,0,3661829090880,15,-2,283,-39,1418,1198,5083,7536,0,0,87,70,80,187
171,87,70,65,889192462,0,3661841902416,15,-2,1245,-39,5556,4680,5166,7538,0,0,87,70,80,187
171,87,70,65,889192462,0,3661850203968,11,-73,148,-39,773,675,4154,7540,0,0,87,70,80,187
171,87,70,65,889192462,0,3661854054152,11,-73,237,-39,1168,1015,4292,7542,0,0,87,70,80,187
171,87,70,65,889192462,0,3661860711960,5,-109,433,-39,1976,1744,3847,7544,0,0,87,70,80,187
